GR_ID,PO_ID,Actual_Delivery_Date,Quantity_Received,Defect_Qty
GR00001,PO00001,2023-05-09,568,10
GR00002,PO00002,2024-10-08,141,1
GR00003,PO00003,2024-03-29,928,14
GR00004,PO00004,2024-09-01,206,2
GR00005,PO00005,2022-11-20,856,5
GR00006,PO00006,2022-09-12,656,1
GR00007,PO00007,2023-08-25,442,7
GR00008,PO00008,2022-09-19,660,6
GR00009,PO00009,2024-05-04,588,8
GR00010,PO00010,2024-04-27,615,9
GR00011,PO00011,2022-01-24,745,5
GR00012,PO00012,2024-08-14,746,8
GR00013,PO00013,2023-05-31,815,12
GR00014,PO00014,2024-02-20,834,7
GR00015,PO00015,2022-02-11,164,2
GR00016,PO00016,2022-07-08,492,9
GR00017,PO00017,2023-08-01,509,1
GR00018,PO00018,2023-05-17,786,13
GR00019,PO00019,2023-02-06,557,3
GR00020,PO00020,2022-04-18,566,3
GR00021,PO00021,2023-02-09,940,16
GR00022,PO00022,2024-06-22,907,6
GR00023,PO00023,2022-06-08,673,27
GR00024,PO00024,2022-06-06,201,3
GR00025,PO00025,2024-03-01,830,27
GR00026,PO00026,2022-05-03,597,3
GR00027,PO00027,2024-05-06,987,6
GR00028,PO00028,2022-08-08,660,7
GR00029,PO00029,2022-08-06,546,5
GR00030,PO00030,2024-10-28,163,0
GR00031,PO00031,2024-02-14,946,34
GR00032,PO00032,2024-05-30,294,4
GR00033,PO00033,2022-10-08,291,2
GR00034,PO00034,2023-02-26,133,1
GR00035,PO00035,2024-04-18,882,12
GR00036,PO00036,2024-08-23,826,4
GR00037,PO00037,2023-10-29,831,5
GR00038,PO00038,2022-12-23,177,1
GR00039,PO00039,2024-05-01,609,6
GR00040,PO00040,2024-12-22,321,2
GR00041,PO00041,2022-12-07,941,8
GR00042,PO00042,2023-05-15,263,1
GR00043,PO00043,2023-09-23,823,7
GR00044,PO00044,2024-12-03,775,5
GR00045,PO00045,2024-10-26,455,5
GR00046,PO00046,2023-09-06,494,12
GR00047,PO00047,2023-12-06,511,3
GR00048,PO00048,2024-04-13,301,3
GR00049,PO00049,2023-12-14,110,2
GR00050,PO00050,2022-07-17,66,0
GR00051,PO00051,2023-02-05,649,8
GR00052,PO00052,2022-12-25,55,0
GR00053,PO00053,2022-04-30,769,5
GR00054,PO00054,2023-07-09,284,4
GR00055,PO00055,2022-02-25,972,12
GR00056,PO00056,2024-07-29,925,28
GR00057,PO00057,2024-05-21,119,1
GR00058,PO00058,2023-01-23,288,7
GR00059,PO00059,2024-07-25,730,11
GR00060,PO00060,2022-12-22,266,4
GR00061,PO00061,2022-01-21,181,3
GR00062,PO00062,2022-05-02,294,5
GR00063,PO00063,2024-09-20,875,11
GR00064,PO00064,2022-04-27,242,4
GR00065,PO00065,2023-01-19,146,1
GR00066,PO00066,2022-04-30,411,3
GR00067,PO00067,2022-03-05,470,2
GR00068,PO00068,2023-06-15,933,10
GR00069,PO00069,2022-05-20,739,6
GR00070,PO00070,2024-04-05,109,0
GR00071,PO00071,2023-02-03,793,5
GR00072,PO00072,2023-03-18,864,12
GR00073,PO00073,2024-12-01,303,1
GR00074,PO00074,2024-02-14,243,3
GR00075,PO00075,2022-12-08,504,7
GR00076,PO00076,2024-05-16,479,6
GR00077,PO00077,2022-08-11,331,3
GR00078,PO00078,2024-06-21,302,4
GR00079,PO00079,2024-07-08,501,2
GR00080,PO00080,2024-01-31,98,1
GR00081,PO00081,2023-01-23,901,10
GR00082,PO00082,2024-01-28,140,1
GR00083,PO00083,2023-10-04,218,0
GR00084,PO00084,2022-11-15,543,2
GR00085,PO00085,2022-06-05,264,3
GR00086,PO00086,2022-06-26,969,6
GR00087,PO00087,2024-11-17,216,2
GR00088,PO00088,2023-11-16,47,0
GR00089,PO00089,2023-07-17,317,1
GR00090,PO00090,2023-11-07,340,2
GR00091,PO00091,2023-10-18,763,4
GR00092,PO00092,2024-01-15,204,4
GR00093,PO00093,2022-04-20,352,4
GR00094,PO00094,2024-12-09,108,2
GR00095,PO00095,2024-10-24,112,1
GR00096,PO00096,2024-10-13,107,1
GR00097,PO00097,2022-06-26,647,8
GR00098,PO00098,2022-04-20,559,4
GR00099,PO00099,2023-10-15,209,2
GR00100,PO00100,2023-07-12,566,4
GR00101,PO00101,2022-06-27,919,9
GR00102,PO00102,2023-02-09,115,0
GR00103,PO00103,2022-11-19,739,12
GR00104,PO00104,2022-11-03,460,0
GR00105,PO00105,2024-05-10,959,15
GR00106,PO00106,2023-12-09,641,0
GR00107,PO00107,2022-09-07,680,19
GR00108,PO00108,2023-10-30,476,4
GR00109,PO00109,2022-11-11,373,2
GR00110,PO00110,2023-04-05,256,3
GR00111,PO00111,2024-01-05,289,3
GR00112,PO00112,2023-02-17,454,6
GR00113,PO00113,2022-05-26,737,10
GR00114,PO00114,2023-12-14,515,7
GR00115,PO00115,2024-05-17,818,8
GR00116,PO00116,2022-06-23,56,0
GR00117,PO00117,2022-04-07,684,4
GR00118,PO00118,2024-11-03,120,2
GR00119,PO00119,2024-05-01,267,3
GR00120,PO00120,2022-02-24,316,10
GR00121,PO00121,2022-06-24,404,3
GR00122,PO00122,2023-01-28,948,17
GR00123,PO00123,2022-09-25,428,0
GR00124,PO00124,2023-10-08,208,2
GR00125,PO00125,2024-02-01,900,13
GR00126,PO00126,2024-01-28,767,13
GR00127,PO00127,2022-12-23,672,9
GR00128,PO00128,2023-10-15,57,0
GR00129,PO00129,2022-04-23,729,8
GR00130,PO00130,2022-10-07,944,15
GR00131,PO00131,2023-09-10,316,3
GR00132,PO00132,2022-01-31,961,17
GR00133,PO00133,2023-09-29,808,9
GR00134,PO00134,2023-03-13,323,4
GR00135,PO00135,2023-12-27,665,9
GR00136,PO00136,2023-04-18,781,4
GR00137,PO00137,2023-11-01,256,4
GR00138,PO00138,2025-01-17,562,6
GR00139,PO00139,2024-06-01,304,1
GR00140,PO00140,2024-11-23,139,2
GR00141,PO00141,2024-02-12,899,4
GR00142,PO00142,2022-09-18,93,0
GR00143,PO00143,2022-11-17,391,6
GR00144,PO00144,2023-05-05,699,5
GR00145,PO00145,2023-01-03,214,2
GR00146,PO00146,2022-04-13,612,7
GR00147,PO00147,2024-07-01,619,2
GR00148,PO00148,2024-05-12,159,1
GR00149,PO00149,2022-04-28,952,15
GR00150,PO00150,2023-05-25,605,5
GR00151,PO00151,2022-04-30,899,39
GR00152,PO00152,2022-04-22,642,23
GR00153,PO00153,2024-07-16,489,8
GR00154,PO00154,2024-02-08,91,0
GR00155,PO00155,2024-03-14,418,5
GR00156,PO00156,2024-05-05,965,28
GR00157,PO00157,2022-09-30,263,9
GR00158,PO00158,2022-04-10,727,2
GR00159,PO00159,2024-03-25,407,3
GR00160,PO00160,2022-05-26,683,4
GR00161,PO00161,2022-11-11,992,10
GR00162,PO00162,2022-04-26,934,0
GR00163,PO00163,2024-07-30,865,3
GR00164,PO00164,2022-04-29,947,8
GR00165,PO00165,2024-12-08,71,1
GR00166,PO00166,2023-01-17,803,9
GR00167,PO00167,2023-09-28,847,12
GR00168,PO00168,2022-08-01,867,10
GR00169,PO00169,2024-06-13,320,0
GR00170,PO00170,2023-02-01,853,7
GR00171,PO00171,2024-07-13,438,5
GR00172,PO00172,2024-08-07,929,37
GR00173,PO00173,2022-03-14,276,2
GR00174,PO00174,2024-09-10,882,6
GR00175,PO00175,2022-05-27,408,6
GR00176,PO00176,2023-11-08,887,7
GR00177,PO00177,2024-10-30,273,3
GR00178,PO00178,2024-06-30,721,3
GR00179,PO00179,2024-06-18,456,7
GR00180,PO00180,2024-04-03,330,1
GR00181,PO00181,2023-05-27,837,16
