PO_ID,Supplier_ID,Order_Date,Expected_Delivery_Date,Quantity_Ordered
PO00001,SUP009,2023-04-09,2023-05-04,571
PO00002,SUP032,2024-09-19,2024-10-03,143
PO00003,SUP004,2024-02-28,2024-03-24,931
PO00004,SUP008,2024-08-04,2024-08-29,206
PO00005,SUP011,2022-11-05,2022-11-19,861
PO00006,SUP028,2022-08-26,2022-09-09,660
PO00007,SUP005,2023-08-04,2023-08-25,444
PO00008,SUP025,2022-09-08,2022-09-18,660
PO00009,SUP030,2024-04-17,2024-05-01,591
PO00010,SUP017,2024-04-03,2024-04-28,616
PO00011,SUP001,2022-01-01,2022-01-22,746
PO00012,SUP008,2024-07-19,2024-08-13,748
PO00013,SUP035,2023-05-19,2023-05-29,818
PO00014,SUP018,2024-01-30,2024-02-20,837
PO00015,SUP022,2022-01-31,2022-02-07,164
PO00016,SUP019,2022-06-23,2022-07-07,495
PO00017,SUP011,2023-07-18,2023-08-01,514
PO00018,SUP001,2023-04-23,2023-05-14,789
PO00019,SUP017,2023-01-07,2023-02-01,562
PO00020,SUP012,2022-03-31,2022-04-14,569
PO00021,SUP007,2023-01-10,2023-02-04,941
PO00022,SUP020,2024-05-31,2024-06-21,911
PO00023,SUP033,2022-05-03,2022-05-28,673
PO00024,SUP013,2022-05-14,2022-06-04,206
PO00025,SUP024,2024-01-25,2024-02-19,830
PO00026,SUP011,2022-04-18,2022-05-02,602
PO00027,SUP034,2024-04-07,2024-05-02,990
PO00028,SUP001,2022-07-15,2022-08-05,663
PO00029,SUP021,2022-07-19,2022-08-02,550
PO00030,SUP002,2024-10-21,2024-10-28,164
PO00031,SUP024,2024-01-09,2024-02-03,949
PO00032,SUP020,2024-05-04,2024-05-25,295
PO00033,SUP004,2022-09-14,2022-10-09,296
PO00034,SUP006,2023-02-16,2023-02-23,137
PO00035,SUP032,2024-03-30,2024-04-13,885
PO00036,SUP005,2024-07-31,2024-08-21,828
PO00037,SUP035,2023-10-20,2023-10-30,834
PO00038,SUP009,2022-11-26,2022-12-21,181
PO00039,SUP031,2024-04-17,2024-04-27,612
PO00040,SUP011,2024-12-07,2024-12-21,321
PO00041,SUP034,2022-11-09,2022-12-04,943
PO00042,SUP028,2023-04-30,2023-05-14,266
