PO_ID,Supplier_ID,Order_Date,Expected_Delivery_Date,Quantity_Ordered,GR_ID,Actual_Delivery_Date,Quantity_Received,Defect_Qty,Supplier_Name,Base_Price,Category,Region,Delay_Days,Lead_Time_Days,Fill_Rate,Defect_Rate,Is_Late,Order_Year,Order_Month,Order_Quarter,Supplier_Avg_LT,Supplier_Late_Rate,Supplier_Late_Severity,Supplier_Defect_Rate,Supplier_Reliability,Expected_Lead_Time
PO06362,SUP032,2022-01-01,2022-01-15,496,GR06362,2022-01-19,491,4,PT Zulaika,130.85,Packaging,Domestic,4,18,0.9899193548387096,0.0081466395112016,1,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,14
PO07273,SUP019,2022-01-01,2022-01-15,787,GR07273,2022-01-15,783,12,Perum Usada,429.11,Packaging,Domestic,0,14,0.9949174078780176,0.0153256704980842,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,14
PO00386,SUP032,2022-01-01,2022-01-15,155,GR00386,2022-01-15,151,1,PT Zulaika,130.85,Packaging,Domestic,0,14,0.9741935483870968,0.0066225165562913,0,2022,1,1,18.0,1.0,4.0,0.0081466395112016,0.0,14
PO05646,SUP035,2022-01-01,2022-01-11,505,GR05646,2022-01-13,502,8,Perum Kurniawan Utami,117.47,Services,Asia,2,12,0.994059405940594,0.0159362549800796,1,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,10
PO06010,SUP005,2022-01-01,2022-01-22,857,GR06010,2022-01-22,853,12,CV Mayasari Suartini,55.91,Electronic,Domestic,0,21,0.9953325554259044,0.0140679953106682,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,21
PO00011,SUP001,2022-01-01,2022-01-22,746,GR00011,2022-01-24,745,5,PT Saefullah,373.36,Electronic,Domestic,2,23,0.9986595174262736,0.0067114093959731,1,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,21
PO04819,SUP002,2022-01-01,2022-01-08,635,GR04819,2022-01-08,633,0,CV Mandala Jailani,78.37,Food,Domestic,0,7,0.9968503937007874,0.0,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,7
PO00904,SUP030,2022-01-02,2022-01-16,114,GR00904,2022-01-16,111,1,PD Riyanti Haryanto,331.16,Packaging,Domestic,0,14,0.9736842105263158,0.009009009009009,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,14
PO06225,SUP021,2022-01-02,2022-01-16,166,GR06225,2022-01-16,166,1,PD Saputra Uyainah (Persero) Tbk,191.39,Packaging,Domestic,0,14,1.0,0.0060240963855421,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,14
PO03445,SUP034,2022-01-02,2022-01-27,367,GR03445,2022-01-27,362,4,CV Hasanah Adriansyah Tbk,449.93,Chemical,Asia,0,25,0.9863760217983653,0.011049723756906,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,25
PO03980,SUP010,2022-01-02,2022-01-23,431,GR03980,2022-01-23,430,7,PT Iswahyudi Tbk,352.09,Electronic,Domestic,0,21,0.9976798143851509,0.0162790697674418,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,21
PO07306,SUP013,2022-01-02,2022-01-23,129,GR07306,2022-01-23,128,2,PT Puspasari Sihombing Tbk,425.27,Electronic,Asia,0,21,0.992248062015504,0.015625,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,21
PO04066,SUP011,2022-01-02,2022-01-16,104,GR04066,2022-01-16,103,0,UD Situmorang,86.18,Packaging,Asia,0,14,0.9903846153846154,0.0,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,14
PO03474,SUP010,2022-01-02,2022-01-23,771,GR03474,2022-01-23,766,6,PT Iswahyudi Tbk,352.09,Electronic,Domestic,0,21,0.993514915693904,0.0078328981723237,0,2022,1,1,21.0,0.0,0.0,0.0162790697674418,1.0,21
PO05506,SUP029,2022-01-02,2022-01-09,168,GR05506,2022-01-09,165,3,PT Mangunsong,439.42,Food,Europe,0,7,0.9821428571428572,0.0181818181818181,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,7
PO06956,SUP016,2022-01-03,2022-01-13,408,GR06956,2022-01-15,403,0,PD Setiawan,280.5,Services,Domestic,2,12,0.9877450980392156,0.0,1,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,10
PO04029,SUP031,2022-01-03,2022-01-13,938,GR04029,2022-01-13,938,10,PD Riyanti Hastuti Tbk,234.84,Services,Europe,0,10,1.0,0.0106609808102345,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,10
PO00349,SUP018,2022-01-03,2022-01-24,951,GR00349,2022-01-24,947,9,UD Zulaika Yuliarti,334.02,Electronic,Domestic,0,21,0.9957939011566772,0.0095036958817317,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,21
PO01837,SUP001,2022-01-03,2022-01-24,469,GR01837,2022-01-25,464,5,PT Saefullah,373.36,Electronic,Domestic,1,22,0.9893390191897654,0.0107758620689655,1,2022,1,1,23.0,1.0,2.0,0.0067114093959731,0.0,21
PO03746,SUP002,2022-01-03,2022-01-10,787,GR03746,2022-01-10,784,3,CV Mandala Jailani,78.37,Food,Domestic,0,7,0.9961880559085132,0.0038265306122448,0,2022,1,1,7.0,0.0,0.0,0.0,1.0,7
PO00132,SUP008,2022-01-04,2022-01-29,961,GR00132,2022-01-29,961,17,CV Anggraini,118.02,Chemical,Asia,0,25,1.0,0.0176899063475546,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,25
PO03680,SUP006,2022-01-04,2022-01-11,108,GR03680,2022-01-11,104,1,Perum Napitupulu,304.99,Food,Europe,0,7,0.9629629629629628,0.0096153846153846,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,7
PO04848,SUP021,2022-01-04,2022-01-18,235,GR04848,2022-01-19,230,3,PD Saputra Uyainah (Persero) Tbk,191.39,Packaging,Domestic,1,15,0.9787234042553192,0.0130434782608695,1,2022,1,1,14.0,0.0,0.0,0.0060240963855421,1.0,14
PO03410,SUP022,2022-01-04,2022-01-11,523,GR03410,2022-01-14,521,5,PT Pradana (Persero) Tbk,140.82,Food,Europe,3,10,0.9961759082217974,0.0095969289827255,1,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,7
PO00966,SUP029,2022-01-04,2022-01-11,409,GR00966,2022-01-11,405,5,PT Mangunsong,439.42,Food,Europe,0,7,0.9902200488997556,0.0123456790123456,0,2022,1,1,7.0,0.0,0.0,0.0181818181818181,1.0,7
PO01275,SUP005,2022-01-05,2022-01-26,533,GR01275,2022-01-26,531,9,CV Mayasari Suartini,55.91,Electronic,Domestic,0,21,0.9962476547842402,0.0169491525423728,0,2022,1,1,21.0,0.0,0.0,0.0140679953106682,1.0,21
PO00801,SUP033,2022-01-05,2022-01-30,443,GR00801,2022-02-01,440,18,UD Kusumo Tbk,138.74,Chemical,Europe,2,27,0.9932279909706546,0.0409090909090909,1,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,25
PO04664,SUP033,2022-01-05,2022-01-30,668,GR04664,2022-02-01,665,30,UD Kusumo Tbk,138.74,Chemical,Europe,2,27,0.9955089820359282,0.0451127819548872,1,2022,1,1,27.0,1.0,2.0,0.0409090909090909,0.0,25
PO02574,SUP015,2022-01-05,2022-01-15,779,GR02574,2022-01-18,778,15,UD Hutapea Pradipta,71.16,Services,Europe,3,13,0.9987163029525032,0.0192802056555269,1,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,10
PO04136,SUP001,2022-01-06,2022-01-27,591,GR04136,2022-01-27,591,6,PT Saefullah,373.36,Electronic,Domestic,0,21,1.0,0.0101522842639593,0,2022,1,1,22.5,1.0,1.5,0.0087436357324693,0.0,21
PO00250,SUP011,2022-01-06,2022-01-20,811,GR00250,2022-01-29,808,5,UD Situmorang,86.18,Packaging,Asia,9,23,0.996300863131936,0.0061881188118811,1,2022,1,1,14.0,0.0,0.0,0.0,1.0,14
PO02614,SUP024,2022-01-06,2022-01-31,289,GR02614,2022-02-01,288,8,Perum Sihotang Prabowo,129.96,Chemical,Europe,1,26,0.9965397923875432,0.0277777777777777,1,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,25
PO06838,SUP009,2022-01-06,2022-01-31,168,GR06838,2022-01-31,163,3,UD Mangunsong (Persero) Tbk,406.62,Chemical,Asia,0,25,0.9702380952380952,0.0184049079754601,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,25
PO03215,SUP020,2022-01-07,2022-01-28,291,GR03215,2022-01-30,289,2,Perum Prasasta Marpaung,146.21,Electronic,Asia,2,23,0.993127147766323,0.0069204152249134,1,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,21
PO04551,SUP028,2022-01-07,2022-01-21,131,GR04551,2022-01-23,127,0,Perum Lailasari Iswahyudi,141.19,Packaging,Asia,2,16,0.9694656488549618,0.0,1,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,14
PO04888,SUP033,2022-01-07,2022-02-01,338,GR04888,2022-02-02,338,8,UD Kusumo Tbk,138.74,Chemical,Europe,1,26,1.0,0.0236686390532544,1,2022,1,1,27.0,1.0,2.0,0.043010936431989055,0.0,25
PO07083,SUP013,2022-01-07,2022-01-28,56,GR07083,2022-01-31,52,0,PT Puspasari Sihombing Tbk,425.27,Electronic,Asia,3,24,0.9285714285714286,0.0,1,2022,1,1,21.0,0.0,0.0,0.015625,1.0,21
PO05272,SUP029,2022-01-08,2022-01-15,763,GR05272,2022-01-21,763,4,PT Mangunsong,439.42,Food,Europe,6,13,1.0,0.0052424639580602,1,2022,1,1,7.0,0.0,0.0,0.01526374859708185,1.0,7
PO04522,SUP012,2022-01-08,2022-01-22,295,GR04522,2022-01-22,294,5,PT Haryanti (Persero) Tbk,55.45,Packaging,Domestic,0,14,0.9966101694915256,0.0170068027210884,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,14
PO05675,SUP010,2022-01-08,2022-01-29,373,GR05675,2022-01-29,371,2,PT Iswahyudi Tbk,352.09,Electronic,Domestic,0,21,0.9946380697050938,0.0053908355795148,0,2022,1,1,21.0,0.0,0.0,0.01205598396988275,1.0,21
PO05206,SUP014,2022-01-08,2022-02-02,367,GR05206,2022-02-07,363,6,PT Gunawan Wijayanti,405.49,Chemical,Asia,5,30,0.989100817438692,0.0165289256198347,1,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,25
PO04540,SUP028,2022-01-08,2022-01-22,880,GR04540,2022-01-22,875,3,Perum Lailasari Iswahyudi,141.19,Packaging,Asia,0,14,0.9943181818181818,0.0034285714285714,0,2022,1,1,16.0,1.0,2.0,0.0,0.0,14
PO01803,SUP007,2022-01-09,2022-02-03,965,GR01803,2022-02-03,962,5,CV Hassanah Rahmawati Tbk,360.85,Chemical,Domestic,0,25,0.9968911917098444,0.0051975051975051,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,25
PO00437,SUP028,2022-01-09,2022-01-23,802,GR00437,2022-01-27,802,7,Perum Lailasari Iswahyudi,141.19,Packaging,Asia,4,18,1.0,0.0087281795511221,1,2022,1,1,15.0,0.5,1.0,0.0017142857142857,0.5,14
PO02405,SUP025,2022-01-09,2022-01-19,723,GR02405,2022-01-19,720,4,PD Yuniar Haryanti (Persero) Tbk,142.27,Services,Asia,0,10,0.995850622406639,0.0055555555555555,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,10
PO02978,SUP001,2022-01-09,2022-01-30,174,GR02978,2022-01-30,173,1,PT Saefullah,373.36,Electronic,Domestic,0,21,0.9942528735632185,0.0057803468208092,0,2022,1,1,22.0,0.6666666666666666,1.0,0.009213185242965967,0.33333333333333337,21
PO05537,SUP021,2022-01-09,2022-01-23,439,GR05537,2022-01-23,439,3,PD Saputra Uyainah (Persero) Tbk,191.39,Packaging,Domestic,0,14,1.0,0.0068337129840546,0,2022,1,1,14.5,0.5,0.5,0.0095337873232058,0.5,14
